road_seg_id,data_time,volume,speed
13G730C5JR013G9G0C5LM00100683,2024-03-02 21:11:00,46,41.667
13GQN0C644013GOB0C64300102661,2024-03-02 21:11:00,61,44.333
13H000C647013H1N0C64600300543,2024-03-02 21:11:00,4,8.375
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 21:11:00,8,40.667
13HA60C5JF013HA50C5HO00101324,2024-03-02 21:11:00,27,45.667
13HV00C681013HSM0C6C700105472,2024-03-02 21:11:05,50,86.697
13EQB0C3DT013EPP0C3C600104214,2024-03-02 21:11:08,4,15.0
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 21:11:19,1,83.69
13FIJ0C554013FIO0C53C00104444,2024-03-02 21:11:47,72,68.842
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 21:12:00,23,39.5
13G730C5JR013G9G0C5LM00100683,2024-03-02 21:12:00,47,43.0
13GQN0C644013GOB0C64300102661,2024-03-02 21:12:00,57,47.667
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 21:12:00,28,32.333
13HA60C5JF013HA50C5HO00101324,2024-03-02 21:12:00,40,45.333
13HV00C681013HSM0C6C700105472,2024-03-02 21:12:05,48,80.227
13EQB0C3DT013EPP0C3C600104214,2024-03-02 21:12:08,3,3.2
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 21:12:19,0,0.0
13FIJ0C554013FIO0C53C00104444,2024-03-02 21:12:47,55,70.62
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 21:13:00,21,39.375
13G730C5JR013G9G0C5LM00100683,2024-03-02 21:13:00,36,48.667
13GQN0C644013GOB0C64300102661,2024-03-02 21:13:00,57,44.667
13H000C647013H1N0C64600300543,2024-03-02 21:13:00,0,8.25
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 21:13:00,21,53.333
13HA60C5JF013HA50C5HO00101324,2024-03-02 21:13:00,41,41.0
13HV00C681013HSM0C6C700105472,2024-03-02 21:13:05,44,78.197
13EQB0C3DT013EPP0C3C600104214,2024-03-02 21:13:08,2,2.0
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 21:13:19,2,50.5
13FIJ0C554013FIO0C53C00104444,2024-03-02 21:13:47,53,71.348
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 21:14:00,17,39.125
13G730C5JR013G9G0C5LM00100683,2024-03-02 21:14:00,48,46.667
13GQN0C644013GOB0C64300102661,2024-03-02 21:14:00,54,49.0
13H000C647013H1N0C64600300543,2024-03-02 21:14:00,6,8.125
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 21:14:00,25,45.0
13HA60C5JF013HA50C5HO00101324,2024-03-02 21:14:00,23,48.667
13HV00C681013HSM0C6C700105472,2024-03-02 21:14:05,59,83.227
13EQB0C3DT013EPP0C3C600104214,2024-03-02 21:14:08,1,14.0
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 21:14:19,1,44.7
13FIJ0C554013FIO0C53C00104444,2024-03-02 21:14:47,45,72.45
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 21:15:00,15,38.875
13G730C5JR013G9G0C5LM00100683,2024-03-02 21:15:00,47,43.333
13GQN0C644013GOB0C64300102661,2024-03-02 21:15:00,55,48.0
13H000C647013H1N0C64600300543,2024-03-02 21:15:00,5,7.75
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 21:15:00,33,43.0
13HA60C5JF013HA50C5HO00101324,2024-03-02 21:15:00,61,45.5
13HV00C681013HSM0C6C700105472,2024-03-02 21:15:05,57,83.363
13EQB0C3DT013EPP0C3C600104214,2024-03-02 21:15:08,0,0.0
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 21:15:19,1,64.59
13FIJ0C554013FIO0C53C00104444,2024-03-02 21:15:47,65,68.122
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 21:16:00,15,38.625
13G730C5JR013G9G0C5LM00100683,2024-03-02 21:16:00,98,46.0
13GQN0C644013GOB0C64300102661,2024-03-02 21:16:00,61,45.333
13H000C647013H1N0C64600300543,2024-03-02 21:16:00,15,7.375
13H1Q0C5R8013H1R0C5Q900101614,2024-03-02 21:16:00,11,45.333
13HA60C5JF013HA50C5HO00101324,2024-03-02 21:16:00,31,47.667
13HV00C681013HSM0C6C700105472,2024-03-02 21:16:05,30,84.863
13EQB0C3DT013EPP0C3C600104214,2024-03-02 21:16:08,0,0.0
13L9M0C3PV013L9E0C3PT00104111,2024-03-02 21:16:19,2,49.9
13FIJ0C554013FIO0C53C00104444,2024-03-02 21:16:47,67,67.84
13G6S0C4IE013G6P0C4KS00300772,2024-03-02 21:17:00,16,40.125
13G730C5JR013G9G0C5LM00100683,2024-03-02 21:17:00,44,45.0
13GQN0C644013GOB0C64300102661,2024-03-02 21:17:00,64,40.333
13H000C647013H1N0C64600300543,2024-03-02 21:17:00,8,8.125
